current_time:2018-05-20 13:01:49
batchsize:24,epochs:800,rate:0.02X:5,Y:1,per_time:10
epochs:324,train_loss:0.0279434368636,validation_loss:0.00629789511026
epochs:325,train_loss:0.00262333228244,validation_loss:0.00629338089038
epochs:326,train_loss:0.0130427677138,validation_loss:0.00629187515238
epochs:327,train_loss:0.00296753886986,validation_loss:0.00628995099523
epochs:328,train_loss:0.0356570118004,validation_loss:0.00629279535007
epochs:329,train_loss:0.0023055161988,validation_loss:0.0062847635133
epochs:330,train_loss:0.0280945473147,validation_loss:0.00628582700291
epochs:331,train_loss:0.00620946754418,validation_loss:0.00628484995908
epochs:332,train_loss:0.0031972649992,validation_loss:0.00627916348569
epochs:333,train_loss:0.0209316283149,validation_loss:0.00627784921472
epochs:334,train_loss:0.00468952836244,validation_loss:0.00627773695647
epochs:335,train_loss:0.00589182563276,validation_loss:0.00627206450039
epochs:336,train_loss:0.00628652556419,validation_loss:0.0062688665442
epochs:337,train_loss:0.00261108770401,validation_loss:0.00625839269156
epochs:338,train_loss:0.0100509297138,validation_loss:0.00625930023963
epochs:339,train_loss:0.00576866383323,validation_loss:0.00625966964785
epochs:340,train_loss:0.00529076365608,validation_loss:0.00625558764438
epochs:341,train_loss:0.00284770238434,validation_loss:0.00624984655697
epochs:342,train_loss:0.00387935428761,validation_loss:0.00624246221357
epochs:343,train_loss:0.0231598793241,validation_loss:0.00623627579581
epochs:344,train_loss:0.00909359074556,validation_loss:0.00623383952312
epochs:345,train_loss:0.0114191994475,validation_loss:0.00623142018147
epochs:346,train_loss:0.00436321466539,validation_loss:0.00622745988218
epochs:347,train_loss:0.0174521743932,validation_loss:0.00622664370489
epochs:348,train_loss:0.0128002869775,validation_loss:0.00622613992978
epochs:349,train_loss:0.00546124149625,validation_loss:0.00622386681194
epochs:350,train_loss:0.00187296260399,validation_loss:0.00622201905647
epochs:351,train_loss:0.00201620061264,validation_loss:0.00621650395999
epochs:352,train_loss:0.0238315143317,validation_loss:0.0062183308755
