入库时间,站点编号,站点名称,平面坐标系X,平面坐标系y,观测时间,当前雨量开始时间,当前雨量结束时间,当前雨量(毫米),近1小时雨量开始时间,近1小时雨量结束时间,近1小时雨量(毫米),近3小时雨量开始时间,近3小时雨量结束时间,近3小时雨量(毫米)
2017/6/1 21:00:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 20:50:00,2017/6/1 20:00:00,2017/6/1 20:50:00,0,2017/6/1 19:50:00,2017/6/1 20:50:00,0,2017/6/1 17:50:00,2017/6/1 20:50:00,0
2017/6/1 21:10:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 20:50:00,2017/6/1 20:00:00,2017/6/1 20:50:00,0,2017/6/1 19:50:00,2017/6/1 20:50:00,0,2017/6/1 17:50:00,2017/6/1 20:50:00,0
2017/6/1 21:20:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 21:10:00,2017/6/1 21:00:00,2017/6/1 21:10:00,0,2017/6/1 20:10:00,2017/6/1 21:10:00,0,2017/6/1 18:10:00,2017/6/1 21:10:00,0
2017/6/1 21:30:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 21:20:00,2017/6/1 21:00:00,2017/6/1 21:20:00,0,2017/6/1 20:20:00,2017/6/1 21:20:00,0,2017/6/1 18:20:00,2017/6/1 21:20:00,0
2017/6/1 21:40:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 21:30:00,2017/6/1 21:00:00,2017/6/1 21:30:00,0,2017/6/1 20:30:00,2017/6/1 21:30:00,0,2017/6/1 18:30:00,2017/6/1 21:30:00,0
2017/6/1 21:50:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 21:40:00,2017/6/1 21:00:00,2017/6/1 21:40:00,0.2,2017/6/1 20:40:00,2017/6/1 21:40:00,0.2,2017/6/1 18:40:00,2017/6/1 21:40:00,0.2
2017/6/1 22:00:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 21:50:00,2017/6/1 21:00:00,2017/6/1 21:50:00,18.6,2017/6/1 20:50:00,2017/6/1 21:50:00,18.6,2017/6/1 18:50:00,2017/6/1 21:50:00,18.6
2017/6/1 22:10:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 21:50:00,2017/6/1 21:00:00,2017/6/1 21:50:00,18.6,2017/6/1 20:50:00,2017/6/1 21:50:00,18.6,2017/6/1 18:50:00,2017/6/1 21:50:00,18.6
2017/6/1 22:20:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 22:10:00,2017/6/1 22:00:00,2017/6/1 22:10:00,2.5,2017/6/1 21:10:00,2017/6/1 22:10:00,29.6,2017/6/1 19:10:00,2017/6/1 22:10:00,29.6
2017/6/1 22:30:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 22:10:00,2017/6/1 22:00:00,2017/6/1 22:10:00,2.5,2017/6/1 21:10:00,2017/6/1 22:10:00,29.6,2017/6/1 19:10:00,2017/6/1 22:10:00,29.6
2017/6/1 22:40:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 22:10:00,2017/6/1 22:00:00,2017/6/1 22:10:00,2.5,2017/6/1 21:10:00,2017/6/1 22:10:00,29.6,2017/6/1 19:10:00,2017/6/1 22:10:00,29.6
2017/6/1 22:50:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 22:10:00,2017/6/1 22:00:00,2017/6/1 22:10:00,2.5,2017/6/1 21:10:00,2017/6/1 22:10:00,29.6,2017/6/1 19:10:00,2017/6/1 22:10:00,29.6
2017/6/1 23:00:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 22:50:00,2017/6/1 22:00:00,2017/6/1 22:50:00,4.5,2017/6/1 21:50:00,2017/6/1 22:50:00,11.2,2017/6/1 19:50:00,2017/6/1 22:50:00,29.8
2017/6/1 23:10:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 22:50:00,2017/6/1 22:00:00,2017/6/1 22:50:00,4.5,2017/6/1 21:50:00,2017/6/1 22:50:00,13,2017/6/1 19:50:00,2017/6/1 22:50:00,31.6
2017/6/1 23:20:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 23:10:00,2017/6/1 23:00:00,2017/6/1 23:10:00,0.4,2017/6/1 22:10:00,2017/6/1 23:10:00,2.8,2017/6/1 20:10:00,2017/6/1 23:10:00,32.4
2017/6/1 23:30:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 23:10:00,2017/6/1 23:00:00,2017/6/1 23:10:00,0.4,2017/6/1 22:10:00,2017/6/1 23:10:00,2.8,2017/6/1 20:10:00,2017/6/1 23:10:00,32.4
2017/6/1 23:40:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 23:30:00,2017/6/1 23:00:00,2017/6/1 23:30:00,1.2,2017/6/1 22:30:00,2017/6/1 23:30:00,1.8,2017/6/1 20:30:00,2017/6/1 23:30:00,33.2
2017/6/1 23:50:10,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 23:40:00,2017/6/1 23:00:00,2017/6/1 23:40:00,1.5,2017/6/1 22:40:00,2017/6/1 23:40:00,2,2017/6/1 20:40:00,2017/6/1 23:40:00,33.5
2017/6/1 3:00:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 2:50:00,2017/6/1 2:00:00,2017/6/1 2:50:00,0,2017/6/1 1:50:00,2017/6/1 2:50:00,0,2017/5/31 23:50:00,2017/6/1 2:50:00,0
2017/6/1 3:10:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 3:00:00,2017/6/1 2:00:00,2017/6/1 3:00:00,0,2017/6/1 2:00:00,2017/6/1 3:00:00,0,2017/6/1,2017/6/1 3:00:00,0
